,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,target,to_Coupon,coupon_freq,occupation_class
2495,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Student,$100000 or More,less1,less1,1~3,less1,never,0,0,0,1,0,less1,Medium_High_Acceptance
4857,No Urgent Place,Alone,Sunny,80,2PM,Restaurant(<20),2h,Male,below21,Single,0,Some college - no degree,Student,$62500 - $74999,never,1~3,4~8,1~3,less1,1,0,0,1,1,1~3,Medium_High_Acceptance
7246,No Urgent Place,Friend(s),Sunny,30,10PM,Restaurant(<20),2h,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$100000 or More,1~3,1~3,gt8,4~8,less1,0,0,0,0,0,4~8,High_Acceptance
11034,Work,Alone,Snowy,30,7AM,Bar,1d,Female,26,Single,0,Bachelors degree,Unemployed,$25000 - $37499,1~3,never,1~3,4~8,1~3,1,1,0,1,2,1~3,Medium_Low_Acceptance
9100,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Male,26,Married partner,1,Bachelors degree,Sales & Related,$25000 - $37499,less1,never,1~3,less1,less1,0,0,0,1,0,1~3,Medium_Low_Acceptance
8170,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,1d,Female,46,Married partner,0,Bachelors degree,Construction & Extraction,$12500 - $24999,1~3,4~8,4~8,1~3,less1,0,0,0,1,0,4~8,High_Acceptance
3640,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0,Bachelors degree,Student,$62500 - $74999,4~8,4~8,1~3,1~3,less1,1,1,0,1,2,4~8,Medium_High_Acceptance
11728,Home,Alone,Sunny,80,10PM,Restaurant(20-50),1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$75000 - $87499,gt8,less1,gt8,4~8,never,0,0,0,0,0,never,Low_Acceptance
7802,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Male,36,Married partner,0,Associates degree,Management,$100000 or More,1~3,1~3,1~3,1~3,1~3,1,0,0,1,1,1~3,Medium_Acceptance
7348,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Male,36,Unmarried partner,1,Some college - no degree,Building & Grounds Cleaning & Maintenance,$25000 - $37499,1~3,less1,1~3,1~3,less1,0,0,1,1,0,1~3,Medium_High_Acceptance
8123,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Female,41,Married partner,1,Associates degree,Education&Training&Library,$62500 - $74999,never,less1,less1,less1,less1,0,0,1,0,0,less1,Low_Acceptance
2860,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,21,Single,0,Bachelors degree,Student,$62500 - $74999,never,less1,1~3,less1,less1,1,1,0,1,2,less1,Medium_High_Acceptance
8406,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Female,50plus,Single,0,Bachelors degree,Installation Maintenance & Repair,$25000 - $37499,never,4~8,4~8,gt8,less1,1,1,0,0,2,less1,Medium_Low_Acceptance
5993,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,50plus,Divorced,0,Graduate degree (Masters or Doctorate),Retired,$37500 - $49999,never,never,4~8,1~3,never,1,1,0,0,2,never,Low_Acceptance
10775,Work,Alone,Snowy,30,7AM,Carry out & Take away,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,1,0,1,0,1,less1,Medium_Acceptance
6829,No Urgent Place,Kid(s),Sunny,80,10AM,Coffee House,2h,Male,26,Married partner,1,Bachelors degree,Management,$50000 - $62499,never,less1,less1,1~3,less1,0,0,0,1,0,less1,Medium_Acceptance
7673,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Male,36,Single,0,Some college - no degree,Construction & Extraction,$50000 - $62499,never,never,1~3,less1,less1,1,0,0,1,1,1~3,High_Acceptance
10931,No Urgent Place,Friend(s),Sunny,30,10AM,Carry out & Take away,2h,Male,31,Married partner,1,Bachelors degree,Computer & Mathematical,$75000 - $87499,1~3,never,less1,less1,less1,0,0,0,0,0,less1,Medium_Acceptance
12058,Home,Alone,Snowy,30,10PM,Coffee House,2h,Male,46,Married partner,1,Bachelors degree,Community & Social Services,$100000 or More,less1,never,1~3,1~3,1~3,1,0,0,0,1,never,Low_Acceptance
11785,No Urgent Place,Friend(s),Snowy,30,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Associates degree,Unemployed,$62500 - $74999,less1,less1,less1,less1,less1,0,0,0,1,0,less1,Medium_Low_Acceptance
8395,No Urgent Place,Friend(s),Snowy,30,10AM,Carry out & Take away,1d,Female,50plus,Single,0,Bachelors degree,Installation Maintenance & Repair,$25000 - $37499,never,4~8,4~8,gt8,less1,1,0,0,1,1,4~8,Medium_Low_Acceptance
10987,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Male,21,Single,0,Some college - no degree,Student,$100000 or More,less1,1~3,1~3,less1,less1,0,0,0,0,0,1~3,Medium_High_Acceptance
5754,Home,Alone,Sunny,80,6PM,Restaurant(<20),2h,Male,26,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,never,1~3,1~3,less1,1~3,0,0,1,0,0,less1,Medium_Acceptance
4417,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,1d,Female,36,Married partner,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,less1,never,4~8,4~8,never,0,0,0,0,0,never,Medium_Acceptance
1484,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,50plus,Unmarried partner,1,Some college - no degree,Retired,$37500 - $49999,never,1~3,less1,1~3,1~3,1,0,0,0,1,1~3,Low_Acceptance
7020,No Urgent Place,Friend(s),Sunny,80,10AM,Restaurant(<20),1d,Female,50plus,Divorced,1,Bachelors degree,Retired,Less than $12500,never,4~8,gt8,gt8,less1,0,0,0,1,0,gt8,Low_Acceptance
8648,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Female,26,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,1~3,less1,1~3,less1,less1,0,0,1,0,0,less1,Medium_Low_Acceptance
4684,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,2h,Male,31,Married partner,1,Graduate degree (Masters or Doctorate),Community & Social Services,$37500 - $49999,never,never,less1,less1,never,1,0,0,0,1,never,Low_Acceptance
7299,Home,Partner,Sunny,80,6PM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,never,never,less1,less1,less1,0,0,1,0,0,never,Medium_Low_Acceptance
4406,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,21,Single,0,Bachelors degree,Life Physical Social Science,$37500 - $49999,less1,never,less1,1~3,never,1,0,1,1,1,never,Medium_Acceptance
1982,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,36,Married partner,1,Some college - no degree,Management,$75000 - $87499,1~3,1~3,1~3,4~8,less1,0,0,1,1,0,1~3,Medium_Acceptance
7210,Home,Alone,Snowy,30,10PM,Restaurant(20-50),2h,Female,50plus,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$37500 - $49999,never,1~3,never,1~3,less1,0,0,0,0,0,less1,Low_Acceptance
8701,No Urgent Place,Partner,Sunny,80,10PM,Restaurant(<20),1d,Male,31,Married partner,0,Graduate degree (Masters or Doctorate),Business & Financial,$75000 - $87499,1~3,4~8,less1,4~8,less1,1,0,0,0,1,4~8,Medium_Acceptance
9897,Work,Alone,Sunny,80,7AM,Restaurant(<20),1d,Female,36,Divorced,0,Associates degree,Computer & Mathematical,$12500 - $24999,less1,4~8,1~3,less1,less1,0,0,0,1,0,less1,Medium_Acceptance
5009,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Female,31,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,never,never,1~3,gt8,1~3,0,0,0,0,0,never,Medium_Low_Acceptance
8773,Home,Alone,Snowy,30,6PM,Coffee House,1d,Female,50plus,Single,0,Graduate degree (Masters or Doctorate),Education&Training&Library,$87500 - $99999,1~3,1~3,less1,1~3,less1,1,0,0,0,1,1~3,Low_Acceptance
10285,Home,Alone,Rainy,55,6PM,Bar,1d,Female,50plus,Single,1,Bachelors degree,Legal,$25000 - $37499,never,less1,4~8,1~3,less1,1,1,0,0,2,never,Low_Acceptance
6346,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Female,21,Married partner,0,Some college - no degree,Unemployed,$50000 - $62499,less1,4~8,4~8,4~8,4~8,0,0,0,0,0,less1,Medium_Low_Acceptance
8350,No Urgent Place,Partner,Sunny,80,10PM,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,4~8,1~3,1,0,0,1,1,4~8,Medium_Low_Acceptance
5464,Home,Alone,Sunny,80,6PM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,never,never,1~3,1~3,1~3,0,0,1,0,0,never,Medium_Low_Acceptance
3524,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,21,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,less1,4~8,1~3,1~3,less1,1,0,0,1,1,4~8,Medium_High_Acceptance
412,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,50plus,Married partner,0,Bachelors degree,Personal Care & Service,$50000 - $62499,never,less1,less1,1~3,less1,1,0,0,0,1,less1,Medium_Low_Acceptance
5917,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Female,21,Single,0,Some college - no degree,Student,Less than $12500,gt8,gt8,1~3,less1,never,0,0,0,0,0,gt8,Medium_High_Acceptance
7038,Work,Alone,Snowy,30,7AM,Restaurant(<20),2h,Female,50plus,Divorced,1,Bachelors degree,Retired,Less than $12500,never,4~8,gt8,gt8,less1,1,1,0,1,2,gt8,Low_Acceptance
884,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,21,Single,0,Bachelors degree,Office & Administrative Support,$37500 - $49999,1~3,less1,4~8,1~3,less1,0,0,0,1,0,less1,Medium_High_Acceptance
5614,No Urgent Place,Alone,Sunny,80,2PM,Restaurant(<20),2h,Male,26,Single,0,Associates degree,Management,$37500 - $49999,4~8,1~3,4~8,1~3,less1,1,0,0,0,1,1~3,Medium_Acceptance
696,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,36,Married partner,1,Some college - no degree,Management,$50000 - $62499,less1,1~3,4~8,1~3,1~3,0,0,1,0,0,4~8,Medium_Acceptance
6561,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,41,Married partner,0,Bachelors degree,Office & Administrative Support,$62500 - $74999,4~8,1~3,4~8,gt8,less1,1,0,0,0,1,1~3,Medium_High_Acceptance
7249,No Urgent Place,Friend(s),Snowy,30,10PM,Carry out & Take away,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$100000 or More,1~3,1~3,gt8,4~8,less1,1,0,0,1,1,gt8,High_Acceptance
2579,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,50plus,Married partner,1,Some college - no degree,Education&Training&Library,$25000 - $37499,never,less1,gt8,4~8,less1,0,0,1,1,0,gt8,Low_Acceptance
4002,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,1d,Female,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,4~8,gt8,4~8,4~8,4~8,0,0,0,1,0,gt8,Low_Acceptance
886,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,21,Single,0,Bachelors degree,Office & Administrative Support,$37500 - $49999,1~3,less1,4~8,1~3,less1,1,0,0,1,1,less1,Medium_High_Acceptance
11380,Home,Alone,Sunny,30,6PM,Carry out & Take away,1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,0,0,0,1,0,1~3,Medium_Low_Acceptance
3089,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,gt8,gt8,gt8,gt8,gt8,0,0,1,0,0,gt8,Medium_Low_Acceptance
11487,Home,Alone,Rainy,55,10PM,Coffee House,2h,Female,41,Married partner,0,Some college - no degree,Arts Design Entertainment Sports & Media,$87500 - $99999,1~3,1~3,4~8,4~8,1~3,0,0,1,0,0,1~3,Low_Acceptance
11991,Home,Alone,Rainy,55,10PM,Coffee House,2h,Female,21,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,never,less1,1~3,1~3,less1,0,0,1,0,0,less1,Medium_Low_Acceptance
12360,Home,Alone,Snowy,30,10PM,Coffee House,2h,Female,31,Single,0,Bachelors degree,Education&Training&Library,$25000 - $37499,less1,4~8,less1,4~8,1~3,1,0,0,0,1,4~8,Low_Acceptance
3486,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,41,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,never,4~8,1~3,less1,1,1,0,1,2,never,Medium_Low_Acceptance
1501,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,31,Unmarried partner,0,Bachelors degree,Legal,$100000 or More,never,less1,less1,1~3,1~3,0,0,0,1,0,1~3,Low_Acceptance
10008,Work,Alone,Rainy,55,7AM,Bar,1d,Female,36,Divorced,1,Bachelors degree,Sales & Related,$12500 - $24999,never,less1,1~3,less1,never,1,1,0,0,2,never,Medium_Low_Acceptance
6684,Work,Alone,Sunny,30,7AM,Bar,1d,Male,21,Single,0,Bachelors degree,Student,$37500 - $49999,less1,1~3,4~8,1~3,less1,0,0,0,1,0,less1,Medium_High_Acceptance
843,Home,Alone,Sunny,55,6PM,Bar,1d,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,0,0,1,1,0,never,Low_Acceptance
3491,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,41,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,never,4~8,1~3,less1,1,0,0,0,1,never,Medium_Low_Acceptance
6639,Work,Alone,Sunny,80,7AM,Coffee House,1d,Male,26,Single,0,Bachelors degree,Business & Financial,$100000 or More,4~8,1~3,1~3,1~3,less1,1,0,1,1,1,1~3,Medium_Acceptance
9607,Home,Alone,Sunny,80,6PM,Restaurant(<20),1d,Female,21,Unmarried partner,0,Bachelors degree,Community & Social Services,$62500 - $74999,less1,never,1~3,less1,never,0,0,1,1,0,less1,Low_Acceptance
9909,Home,Alone,Sunny,80,6PM,Restaurant(<20),1d,Male,21,Unmarried partner,0,Some college - no degree,Student,$12500 - $24999,never,less1,gt8,4~8,1~3,0,0,1,1,0,4~8,Medium_High_Acceptance
6896,Home,Partner,Rainy,55,10PM,Bar,1d,Female,21,Unmarried partner,0,Bachelors degree,Sales & Related,$25000 - $37499,1~3,4~8,4~8,1~3,1~3,1,0,0,0,1,1~3,Medium_Low_Acceptance
8620,Home,Alone,Snowy,30,10PM,Restaurant(20-50),2h,Female,50plus,Married partner,1,Associates degree,Office & Administrative Support,$75000 - $87499,1~3,4~8,1~3,4~8,4~8,0,0,0,0,0,4~8,Medium_High_Acceptance
10773,Work,Alone,Sunny,80,7AM,Coffee House,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,0,0,1,1,0,1~3,Medium_Acceptance
6808,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Some college - no degree,Unemployed,$12500 - $24999,never,less1,1~3,4~8,less1,0,0,1,1,0,less1,Medium_Low_Acceptance
3930,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,26,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$12500 - $24999,never,never,1~3,less1,less1,0,0,0,1,0,less1,Low_Acceptance
10087,Home,Alone,Sunny,80,6PM,Carry out & Take away,1d,Female,31,Single,0,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,never,less1,4~8,1~3,1~3,0,0,0,1,0,4~8,Low_Acceptance
10137,Work,Alone,Sunny,30,7AM,Carry out & Take away,1d,Female,26,Married partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,never,never,1~3,4~8,less1,1,0,0,1,1,1~3,Medium_High_Acceptance
10597,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,less1,less1,4~8,gt8,gt8,1,0,0,0,1,less1,Medium_Acceptance
5771,Home,Alone,Sunny,80,6PM,Coffee House,1d,Female,41,Single,1,Associates degree,Sales & Related,$25000 - $37499,less1,less1,4~8,4~8,1~3,0,0,0,0,0,less1,Medium_Low_Acceptance
2839,Work,Alone,Sunny,55,7AM,Bar,1d,Female,50plus,Married partner,1,Bachelors degree,Life Physical Social Science,$50000 - $62499,less1,never,4~8,less1,less1,1,1,0,1,2,less1,Medium_Acceptance
10267,Work,Alone,Sunny,30,7AM,Bar,1d,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,never,gt8,4~8,1~3,less1,1,0,1,0,1,never,Medium_High_Acceptance
6059,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,26,Single,1,High School Graduate,Unemployed,Less than $12500,less1,less1,4~8,1~3,never,1,1,0,0,2,less1,Medium_Low_Acceptance
12582,Home,Alone,Sunny,80,6PM,Restaurant(20-50),1d,Male,21,Single,0,Some college - no degree,Student,$12500 - $24999,never,never,1~3,1~3,less1,0,0,1,1,0,less1,Medium_High_Acceptance
4951,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,31,Single,0,High School Graduate,Production Occupations,$25000 - $37499,1~3,never,4~8,1~3,less1,1,1,0,0,2,never,Medium_High_Acceptance
4178,No Urgent Place,Alone,Sunny,80,2PM,Restaurant(<20),2h,Male,26,Single,0,Associates degree,Unemployed,Less than $12500,less1,never,1~3,less1,less1,1,0,0,1,1,less1,Medium_Low_Acceptance
4988,No Urgent Place,Alone,Sunny,80,2PM,Restaurant(<20),2h,Female,21,Single,0,High School Graduate,Unemployed,$100000 or More,never,never,less1,never,never,1,0,0,0,1,never,Medium_Low_Acceptance
1033,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,50plus,Divorced,1,Graduate degree (Masters or Doctorate),Retired,$12500 - $24999,1~3,4~8,4~8,4~8,less1,1,0,0,0,1,4~8,Low_Acceptance
7582,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,1d,Male,26,Married partner,0,Bachelors degree,Computer & Mathematical,$50000 - $62499,less1,less1,1~3,less1,less1,1,0,0,1,1,less1,Medium_Acceptance
2716,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Computer & Mathematical,$87500 - $99999,1~3,1~3,1~3,4~8,1~3,0,0,0,1,0,1~3,Medium_Acceptance
9649,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Male,21,Single,0,Bachelors degree,Student,$25000 - $37499,1~3,4~8,4~8,1~3,less1,1,0,0,1,1,4~8,Medium_High_Acceptance
10906,No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,1~3,1~3,4~8,1~3,less1,1,0,0,1,1,1~3,Medium_High_Acceptance
5255,Work,Alone,Sunny,80,7AM,Coffee House,2h,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Legal,$37500 - $49999,less1,less1,1~3,less1,never,1,0,1,0,1,less1,Low_Acceptance
3998,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Female,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$100000 or More,4~8,gt8,4~8,4~8,4~8,0,0,0,1,0,4~8,Low_Acceptance
11113,Home,Alone,Rainy,55,10PM,Coffee House,2h,Male,21,Single,0,Some college - no degree,Computer & Mathematical,Less than $12500,never,4~8,4~8,4~8,never,0,0,1,1,0,4~8,Medium_Acceptance
464,No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,31,Single,1,High School Graduate,Management,$50000 - $62499,gt8,gt8,gt8,gt8,gt8,0,0,0,1,0,gt8,Medium_Acceptance
8442,Home,Alone,Sunny,30,6PM,Carry out & Take away,2h,Male,41,Married partner,1,Associates degree,Farming Fishing & Forestry,$25000 - $37499,never,never,never,1~3,never,1,0,1,1,1,never,Medium_Low_Acceptance
3535,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,21,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,less1,4~8,1~3,1~3,less1,1,0,0,0,1,4~8,Medium_High_Acceptance
12469,Home,Alone,Rainy,55,10PM,Coffee House,2h,Male,41,Divorced,1,High School Graduate,Sales & Related,$12500 - $24999,never,less1,less1,1~3,4~8,0,0,1,1,0,less1,Medium_Low_Acceptance
10859,No Urgent Place,Partner,Sunny,30,10AM,Restaurant(20-50),1d,Male,41,Single,0,Bachelors degree,Business & Financial,$62500 - $74999,1~3,4~8,1~3,4~8,4~8,0,0,0,1,0,4~8,Medium_Acceptance
2021,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,50plus,Married partner,1,Associates degree,Legal,$100000 or More,less1,never,gt8,4~8,1~3,1,0,0,1,1,1~3,Low_Acceptance
12126,Work,Alone,Rainy,55,7AM,Carry out & Take away,1d,Female,36,Married partner,0,Bachelors degree,Unemployed,$25000 - $37499,less1,1~3,4~8,4~8,4~8,0,0,0,0,0,4~8,Medium_Low_Acceptance
8528,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(20-50),1d,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,1~3,1~3,4~8,4~8,never,0,0,0,1,0,never,Medium_High_Acceptance
9852,Work,Alone,Rainy,55,7AM,Carry out & Take away,2h,Female,50plus,Married partner,0,Bachelors degree,Sales & Related,$50000 - $62499,1~3,4~8,less1,1~3,less1,1,0,1,0,1,less1,Medium_Low_Acceptance
970,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,less1,less1,1~3,4~8,less1,1,0,0,1,1,1~3,High_Acceptance
245,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,never,4~8,1~3,less1,0,0,0,0,0,never,Medium_Low_Acceptance
4473,Work,Alone,Sunny,80,7AM,Restaurant(20-50),2h,Female,36,Single,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$37500 - $49999,less1,never,4~8,1~3,less1,1,0,0,0,1,less1,Low_Acceptance
5325,No Urgent Place,Alone,Sunny,80,10AM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Student,$25000 - $37499,never,less1,1~3,1~3,less1,0,0,0,0,0,never,Medium_High_Acceptance
131,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Student,$50000 - $62499,1~3,gt8,4~8,1~3,less1,1,0,0,1,1,gt8,Medium_High_Acceptance
8537,Work,Alone,Snowy,30,7AM,Restaurant(20-50),1d,Female,21,Married partner,1,Some college - no degree,Student,$12500 - $24999,1~3,1~3,4~8,4~8,never,1,1,0,1,2,never,Medium_High_Acceptance
10261,Home,Kid(s),Sunny,30,6PM,Bar,2h,Female,31,Married partner,1,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,never,gt8,4~8,1~3,less1,1,0,0,0,1,never,Medium_High_Acceptance
10076,No Urgent Place,Alone,Sunny,80,10AM,Coffee House,2h,Female,31,Single,0,Associates degree,Arts Design Entertainment Sports & Media,$75000 - $87499,never,less1,4~8,1~3,1~3,1,0,0,0,1,less1,Low_Acceptance
1363,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,1~3,4~8,gt8,1~3,1~3,1,1,0,0,2,4~8,Medium_Low_Acceptance
753,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Female,50plus,Married partner,0,Some college - no degree,Healthcare Support,$25000 - $37499,1~3,1~3,4~8,4~8,1~3,1,0,0,1,1,1~3,High_Acceptance
9780,No Urgent Place,Alone,Rainy,55,10AM,Coffee House,1d,Male,31,Single,0,Some college - no degree,Office & Administrative Support,$12500 - $24999,4~8,never,gt8,4~8,never,1,0,0,0,1,never,Medium_High_Acceptance
2701,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,41,Married partner,1,Bachelors degree,Education&Training&Library,$100000 or More,less1,1~3,1~3,4~8,less1,1,0,0,1,1,4~8,Low_Acceptance
11955,No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Male,50plus,Married partner,1,Graduate degree (Masters or Doctorate),Education&Training&Library,$25000 - $37499,less1,1~3,1~3,1~3,less1,0,0,0,1,0,less1,Low_Acceptance
